filename,pitch_mean,pitch_std,energy_mean,energy_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean
s_056_1.wav,231.3835,16.5697,0.070818,0.046976,-303.2197,90.3322,60.9386,88.0123,22.1939,46.0865,9.068,33.9876,-1.9689,20.2309,-22.9646,19.4103,-4.4173,11.8981,-11.3235,12.0043,-12.7428,11.6958,-6.3213,7.7893,-7.1558,7.4828,-9.4156,11.4696,-4.3848,6.1635,2384.7486,1565.5523,3706.7057,0.268412
s_057_1.wav,281.893,26.9135,0.066746,0.033614,-195.6241,40.8355,102.1761,32.2862,-10.1642,19.1516,12.4382,19.0057,-33.8291,16.8116,1.0087,14.2983,-18.1309,9.4105,-4.6218,10.0165,-14.6381,8.7295,-3.2976,9.0194,5.8412,12.1561,-1.0319,10.0523,-3.1031,8.4366,1609.5695,1565.7748,3193.1195,0.112382
s_058_1.wav,281.853,21.5689,0.066713,0.028446,-205.3064,51.1935,90.6336,37.8524,-10.203,22.6296,11.012,19.5943,-33.6908,15.0742,-11.5305,14.1549,-20.7424,11.8358,-11.5984,11.6821,-8.7486,13.3636,-8.8763,12.4059,0.6278,12.8477,-4.2773,8.7314,-6.0506,8.4774,1768.3198,1635.2908,3425.8898,0.148383
s_059_1.wav,252.1679,26.4802,0.067539,0.028705,-198.066,45.2588,94.1847,33.3236,-12.9124,24.5364,17.3355,21.2139,-24.6818,16.4719,-15.3695,15.3712,-20.1565,8.5658,-9.0853,10.1049,-5.8188,9.9305,-3.9705,8.2819,-2.9012,9.3381,-6.9055,7.9734,-7.0457,6.9443,1654.2598,1605.9665,3283.2933,0.119058
s_060_1.wav,318.9994,26.8399,0.068402,0.023226,-218.6535,58.7802,92.239,36.3013,-7.8135,28.8349,15.284,18.8941,-19.358,22.0838,-2.9824,12.427,-5.228,13.7142,-10.6466,10.192,0.191,11.6197,-4.89,11.4182,1.4795,13.0615,-8.1705,10.0966,-2.113,7.1598,1659.8571,1635.2104,3296.875,0.102509
s_061_1.wav,341.3568,51.9161,0.060554,0.031424,-221.9342,48.617,81.2503,58.5998,11.2808,32.9211,0.7513,16.1456,-14.6703,22.2348,-3.178,8.84,-0.2694,13.5772,-10.0242,14.1534,-2.6498,8.5221,2.1848,11.3816,0.5657,13.1874,1.0407,7.5834,-2.7719,9.7577,2181.1833,1774.7992,3864.5342,0.163639
s_062_1.wav,197.8016,15.0025,0.06267,0.032743,-229.1637,115.4211,81.1276,59.0872,-1.7623,32.3541,16.9354,18.0394,-28.1705,17.3722,-10.646,13.1248,-17.5053,18.2747,-2.7585,11.7553,-16.1688,9.5695,-3.6963,9.0348,-3.8044,10.1317,-6.6196,7.0128,-5.1842,6.3731,1993.2768,1598.8754,3619.8694,0.182085
s_063_1.wav,183.8004,16.9812,0.066751,0.028848,-230.0707,74.8323,98.64,51.2685,23.3957,29.4181,36.543,20.1914,-17.1299,18.5225,2.0101,9.7166,-15.641,14.8151,10.1178,10.9203,-7.8634,9.4742,4.7985,7.1919,-2.603,7.5544,1.6215,8.3129,6.1167,6.5593,1620.3654,1613.8069,3109.2122,0.102498
s_064_1.wav,214.979,27.0329,0.06289,0.033989,-200.6152,68.1935,92.9238,39.3249,8.4966,32.1478,16.274,29.2686,-9.4458,13.8068,-0.7726,14.1012,-12.3506,11.085,-3.8126,8.7335,-3.2279,12.8841,-2.3524,6.7624,2.9139,10.0219,-4.9673,8.3788,0.5578,8.1564,1731.607,1733.2581,3414.0625,0.110324
s_065_1.wav,225.7243,15.8884,0.06887,0.031243,-243.6354,63.9696,99.1852,51.3912,7.3642,30.1652,-1.1133,25.8532,-15.8181,18.5321,-9.9108,12.3892,-20.0057,14.0634,-14.4542,11.2159,-11.0923,8.2571,-8.4298,8.5167,-1.394,11.3151,-7.6978,7.6026,-0.143,6.6577,1575.9222,1582.6109,2875.5482,0.133883
s_066_1.wav,226.5749,26.1797,0.060749,0.039287,-279.6464,101.4954,91.9804,77.8255,9.8728,21.7899,15.52,33.9924,-18.1352,14.6566,-13.6722,17.1372,-12.7747,13.4029,-17.7956,13.4913,-12.7346,13.5846,-8.7268,11.9192,-4.6755,7.5016,-3.6437,9.4581,-4.1676,7.5106,1775.996,1549.3138,3247.0576,0.166092
s_067_1.wav,165.8126,66.3548,0.061038,0.039984,-218.3074,48.0886,97.9527,42.9731,27.3666,24.1171,11.2399,12.3552,-7.7256,10.5585,-12.5764,12.1081,-22.2514,10.4546,0.8935,9.0265,-6.8868,6.7047,3.9429,7.4576,-8.7117,9.8816,1.8899,7.7075,3.4666,6.1448,1773.9745,1836.1259,3525.6696,0.120316
